PROFESOR;ASIGNATURA;AULA;DIA;HORA
JGM;GeH;112;1;1
RMS;MuS;4S;1;2
CSG;LCL;112;1;3
MGG;LIBD4;404;1;5
JBP;LIBD5;TIC3;1;5
ACC;LIBD2;411;1;5
ARG;LIBD1;112;1;5
RIG;LIBD6;407;1;5
PGT;REL;112;1;6
FRC;VE;405;1;6
AO;REV;412;1;6
MRM;ING;112;1;7
CSG;LCL;112;2;1
JSM;MAT;112;2;2
JGM;GeH;112;2;3
CMV;EPVA;112;2;5
FRC;FR2;112;2;6
JCL;TAP;TIC2;2;6
MSV;CSG;404;2;6
AGF;LIBD7;409;2;6
RMM;ByG;112;2;7
CSG;LCL;112;3;1
MRM;ING;112;3;2
ARM;EF;P-1;3;3
MGG;LIBD4;404;3;5
JBP;LIBD5;TIC3;3;5
ACC;LIBD2;411;3;5
ARG;LIBD1;112;3;5
RIG;LIBD6;407;3;5
JSM;MAT;112;3;6
RMM;ByG;112;3;7
RMS;MuS;112;4;1
CSG;LCL;112;4;2
JSM;MAT;112;4;3
JGM;GeH;112;4;5
FRC;FR2;112;4;6
JCL;TAP;301;4;6
MSV;CSG;404;4;6
AGF;LIBD7;409;4;6
MRM;ING;112;4;7
CMV;EPVA;112;5;1
MRM;TUT;112;5;2
ARM;EF;P-1;5;3
RMM;ByG;112;5;5
JSM;MAT;112;5;6
MRM;ING;112;5;7
