PROFESOR;ASIGNATURA;AULA;DIA;HORA
CGR;ARCHC;304;1;1
ELN;CSII;304;1;2
FBP;ABO;304;1;3
JGM;CSII;304;1;5
ADG;PPVP;304;1;6
CSM;CAII;304;1;7
CGR;ARCHC;304;2;1
ADG;PPVP;304;2;2
ADG;PPVP;304;2;3
JGM;CSII;304;2;5
FBP;ABO;304;2;6
CSM;CAII;304;2;7
CGR;ARCHC;304;3;1
ELN;CSII;304;3;2
CSM;CAII;304;3;3
ADG;PPVP;304;3;5
RHM;PPVP;;3;5
FBP;ABO;304;3;6
JGM;CSII;304;3;7
CSM;CAII;304;4;1
CGR;ARCHC;304;4;2
JGM;CSII;304;4;3
ADG;TUT;304;4;5
FBP;ABO;304;4;6
FBP;ABO;304;4;7
JGM;CSII;304;5;1
FBP;ABO;304;5;2
FBP;ABO;304;5;3
CSM;CAII;304;5;5
ADG;UFP;304;5;6
CGR;ARCHC;304;5;7
