PROFESOR;ASIGNATURA;AULA;DIA;HORA
JRM;GeH;111;LUNES;1
HCG;MAP;111;LUNES;2
RGC;REL;111;LUNES;3
FGA;VE;514;LUNES;3
JCM;IAEYE;111;LUNES;5
CJG;TEC;521;LUNES;6
MGC;TIC;TIC3;LUNES;7
RCG;EF;P-1;MARTES;1
RIG;LCL;111;MARTES;2
JCM;IAEYE;111;MARTES;3
HCG;MAP;111;MARTES;5
ERC;ING;111;MARTES;6
MPN;EPVA;415;MARTES;7
HCG;MAP;111;MIÉRCOLES;1
MGC;TIC;TIC3;MIÉRCOLES;2
CJG;TEC;111;MIÉRCOLES;3
ERC;ING;111;MIÉRCOLES;5
JCM;IAEYE;111;MIÉRCOLES;6
MPN;EPVA;415;MIÉRCOLES;7
JRM;GeH;111;JUEVES;1
ERC;ING;TIC3;JUEVES;2
RCG;EF;5S;JUEVES;3
CJG;TEC;510;JUEVES;5
HCG;MAP;111;JUEVES;6
RIG;LCL;111;JUEVES;7
MPN;EPVA;415;VIERNES;1
JRM;GeH;111;VIERNES;2
HCG;TUT;111;VIERNES;3
ERC;ING;111;VIERNES;5
MGC;TIC;TIC3;VIERNES;6
RIG;LCL;111;VIERNES;7
