CURSO;ASIGNATURA;AULA;DIA;HORA
3ESOC;EF;P-2;LUNES;1
1ESOB;EF;P-1;LUNES;2
2ESOB;TEC;423;LUNES;2
4ESOF;EF;P-3;LUNES;3
1ESOI;EF;P-1;LUNES;5
3ESOA;TEC;301;LUNES;6
3ESOF;TEC;425;LUNES;7
4ESOE;EF;P-1;MARTES;1
2BCT;AFS;P-3;MARTES;2
1ESOA;EF;P-1;MARTES;3
2ESOA;TEC;301;MARTES;3
2ESOC;TEC;424;MARTES;5
2ESOD;TEC;412;MARTES;6
3ESOA;TEC;301;MARTES;7
4ESOC;EF;5S;MIÉRCOLES;1
1ESOB;EF;P-1;MIÉRCOLES;2
2BSH;AFS;5S;MIÉRCOLES;3
2ESOA;TEC;422;MIÉRCOLES;5
2ESOC;TEC;301;MIÉRCOLES;6
3ESOF;TEC;301;MIÉRCOLES;7
3ESOA;TEC;311;JUEVES;3
4ESOE;EF;5S;JUEVES;3
1ESOA;EF;P-1;JUEVES;5
2ESOD;TEC;301;JUEVES;5
3ESOF;TEC;416;JUEVES;6
1ESOI;EF;P-1;JUEVES;7
2ESOB;TEC;423;JUEVES;7
4ESOF;EF;5S;VIERNES;1
2BCT;AFS;5S;VIERNES;2
2ESOC;TEC;301;VIERNES;3
2BSH;AFS;P-3;VIERNES;3
2ESOA;TEC;301;VIERNES;5
2ESOD;TEC;301;VIERNES;6
4ESOC;EF;P-3;VIERNES;6
2ESOB;TEC;301;VIERNES;7
3ESOC;EF;5S;VIERNES;7
